seed,config,model,group,threshold,pos_label,n_test,pos_rate_test,tp,tn,fp,fn,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,fit_seconds
49,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2147,34948,7044,861,0.7730085302468961,0.2335980850832336,0.7137632978723404,0.3519960652512501,0.8548579922011488,0.3699365756163283,6.051438093185425
49,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2105,35349,6643,903,0.7708018662622669,0.24062642889803385,0.6998005319148937,0.3581150051037768,0.8549927181861894,0.36905921371710004,19.189993143081665
49,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1922,36830,5162,1086,0.7580172945809334,0.2713156408808583,0.6389627659574468,0.3808957590170432,0.8520650811654095,0.35803875526861156,0.46271824836730957
50,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2208,32595,9397,800,0.7551309165271602,0.1902628177509694,0.7340425531914894,0.30219667419421065,0.8331972324452378,0.3310604425798977,2.046388864517212
50,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2208,32494,9498,800,0.7539283065062038,0.18862121988723732,0.7340425531914894,0.3001223324724752,0.8234192689438313,0.32437766849609245,0.6269769668579102
50,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2201,31517,10475,807,0.741131574453898,0.17363521615651625,0.7317154255319149,0.2806681968885488,0.8072307671699371,0.27746167625834034,0.24599194526672363
50,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2113,35207,6785,895,0.7704408552490241,0.23746909417846707,0.7024601063829787,0.35494708550310766,0.8548583880465581,0.3653952217695103,6.046729326248169
50,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2167,34898,7094,841,0.7757376468364795,0.23399200950221358,0.7204122340425532,0.35324802347379575,0.8558096441495442,0.3703583485906057,19.084421157836914
50,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1949,36713,5279,1059,0.7611122039963032,0.2696458218040952,0.647938829787234,0.3808128175068386,0.8531058893753319,0.3602442771254088,0.48030972480773926
51,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2222,32454,9538,786,0.7557791529693599,0.18894557823129252,0.7386968085106383,0.30092091007583965,0.8368086330336983,0.3367769670226977,1.6253786087036133
51,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2176,33439,8553,832,0.7598613008354176,0.20281480100661758,0.723404255319149,0.3168086190580185,0.8416155817610144,0.3475092645418568,0.6286795139312744
51,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2203,31441,10551,805,0.7405590869892138,0.17273012388270348,0.7323803191489362,0.2795330541809415,0.8093538879809425,0.27891272583522564,0.2697784900665283
51,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2180,35041,6951,828,0.7796012563689942,0.23874712517796517,0.7247340425531915,0.35917291374907323,0.8624588257439106,0.3819426242638339,5.9907941818237305
51,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2179,35028,6964,829,0.779280241575903,0.23832440118123155,0.7244015957446809,0.35865360875648095,0.8610893272984115,0.3827650147023652,19.148086071014404
51,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,2003,36819,5173,1005,0.7713504129965991,0.2791248606465998,0.6658909574468085,0.3933621366849961,0.8601973846715485,0.36449923232295584,0.4905843734741211
